,Faturamento Total,Dia,Impressoes,Cliques,CTR,CPC,CPM,Custo
0,286657.31999999995,2021-04-08,911350.0,853.0,25.497184,3.557979,349.06667,931.02
1,506971.62999999983,2021-04-09,986770.0,620.0,23.836475,4.698983,440.16947899999997,879.17
2,1117867.4400000002,2021-04-10,52919.0,1475.0,32.689052000000004,3.915026,468.342082,1361.05
3,1198845.3599999996,2021-04-11,57132.0,1439.0,32.928782000000005,4.364484,510.282802,1216.92
4,144902.85999999996,2021-04-12,823390.0,917.0,33.463187999999995,3.967625,428.958961,701.84
5,148076.83000000007,2021-04-13,902128.0,469.0,27.256986,4.389703,471.41271199999994,553.69
6,178628.66999999995,2021-04-14,1570808.0,509.0,37.718553,3.385115,356.195916,406.66999999999996
7,196590.07,2021-04-15,849417.0,1112.0,32.488386,4.985475,556.437106,1372.96
8,287995.22,2021-04-16,941941.0,947.0,34.122211,3.542604,376.18126600000005,682.44
9,496431.1299999999,2021-04-17,952220.0,453.0,34.439032999999995,4.255575,443.07467399999996,596.11
10,597492.0899999999,2021-04-18,817051.0,947.0,38.440142,4.336374999999999,623.145674,867.5699999999999
11,169387.51999999996,2021-04-19,788358.0,717.0,20.54838,4.834194999999999,402.32870799999995,814.19
12,220265.24999999997,2021-04-20,945600.0,1113.0,35.594303000000004,4.748157000000001,593.3907710000001,1222.15
13,528510.6899999997,2021-04-21,47879.0,1428.0,31.937958,4.360202,500.619909,1572.98
14,204304.4900000001,2021-04-22,826597.0,979.0,28.040977,4.369956,351.04362900000007,865.74
15,356133.46,2021-04-23,73919.0,1424.0,27.891623,5.354362999999999,536.25045,1772.0300000000002
16,829062.7200000001,2021-04-24,116005.0,1832.0,22.559981,6.054515,506.281518,3003.7799999999997
17,816774.1199999999,2021-04-25,151540.0,2800.0,35.405656,5.640631,600.5904850000001,3106.3199999999997
18,236856.03,2021-04-26,1143270.0,1969.0,34.687962,4.963869,430.698831,2823.9700000000003
19,254057.86000000013,2021-04-27,994258.0,1567.0,28.571610000000003,4.889255,390.83760700000005,1862.75
20,580895.4,2021-04-28,1034486.0,2380.0,28.795074,6.275018,575.720919,3187.92
21,277583.7500000001,2021-04-29,947702.0,2340.0,21.932142,5.957803,460.58339800000005,3532.0200000000004
22,406041.1499999996,2021-04-30,1169094.0,2731.0,30.287822000000002,6.367485,552.209237,4191.12
23,279927.01999999984,2021-05-03,875882.0,1213.0,31.059913,4.717022,496.496494,1286.4499999999998
24,328274.49999999977,2021-05-04,416858.0,920.0,15.867659999999999,6.626575000000001,433.86000199999995,1368.69
25,422419.1900000003,2021-05-07,533002.0,877.0,28.485021,5.4982869999999995,466.16576,838.15
26,956877.88,2021-05-08,766609.0,1562.0,31.215847000000004,5.309536,426.82038,1543.3899999999999
27,870009.3900000004,2021-05-09,616222.0,1631.0,39.41899599999999,4.447509999999999,627.85527,1937.63
