,Faturamento Total,Dia,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Resultados,CustoResult,Custo
0,286657.31999999995,2021-04-08,12083,1.012745,12237,193,1.577184,9.74667,0.617979,64.0,1.86359375,119.27
1,506971.62999999983,2021-04-09,13128,1.024147,13445,177,1.316475,14.599479,1.108983,69.0,2.8447826086957,196.29
2,1117867.4400000002,2021-04-10,48737,1.015676,49501,945,1.909052,11.932082,0.625026,338.0,1.7474852071006,590.65
3,1198845.3599999996,2021-04-11,51665,1.037956,53626,852,1.588782,9.762802,0.614484,281.0,1.8631316725979,523.54
4,144902.85999999996,2021-04-12,13197,1.007653,13298,160,1.203188,6.588961,0.547625,50.0,1.7524,87.62
5,148076.83000000007,2021-04-13,25817,1.047449,27042,202,0.746986,3.732712,0.499703,67.0,1.5065671641791,100.94
6,178628.66999999995,2021-04-14,17108,1.040917,17808,217,1.218553,8.835916,0.725115,71.0,2.2161971830986,157.35
7,196590.07,2021-04-15,13264,1.015908,13475,179,1.328386,9.637106,0.725475,65.0,1.9978461538462,129.86
8,287995.22,2021-04-16,10392,1.040993,10818,169,1.562211,10.351266,0.662604,60.0,1.8663333333333,111.98
9,496431.1299999999,2021-04-17,8790,1.029238,9047,113,1.249033,12.934674,1.035575,43.0,2.7213953488372,117.02
10,597492.0899999999,2021-04-18,28155,1.035198,29146,411,1.410142,7.845674,0.556375,126.0,1.8148412698413,228.67
11,169387.51999999996,2021-04-19,27159,1.043116,28330,348,1.22838,9.018708,0.734195,98.0,2.6071428571429,255.5
12,220265.24999999997,2021-04-20,42272,1.027394,43430,510,1.174303,8.550771,0.728157,175.0,2.1220571428571,371.36
13,528510.6899999997,2021-04-21,41023,1.056676,43348,645,1.487958,10.269909,0.690202,172.0,2.5882558139535,445.18
14,204304.4900000001,2021-04-22,49565,1.054898,52286,675,1.290977,10.843629,0.839956,188.0,3.0157978723404,566.97
15,356133.46,2021-04-23,63698,1.093394,69647,816,1.171623,13.29045,1.134363,226.0,4.0957522123894,925.64
16,829062.7200000001,2021-04-24,105355,1.05303,110942,1298,1.169981,18.421518,1.574515,386.0,5.2946113989637,2043.72
17,816774.1199999999,2021-04-25,136897,1.067182,146094,1776,1.215656,12.650485,1.040631,620.0,2.9809032258065,1848.16
18,236856.03,2021-04-26,157153,1.044314,164117,1884,1.147962,11.638831,1.013869,551.0,3.4666606170599,1910.13
19,254057.86000000013,2021-04-27,94587,1.08018,102171,1289,1.26161,14.877607,1.179255,383.0,3.9688250652742,1520.06
20,580895.4,2021-04-28,147293,1.07686,158614,1959,1.235074,15.870919,1.285018,570.0,4.4164035087719,2517.35
21,277583.7500000001,2021-04-29,128773,1.04911,135097,1543,1.142142,18.363398,1.607803,417.0,5.9492565947242,2480.84
22,406041.1499999996,2021-04-30,202451,1.083284,219312,2298,1.047822,16.529237,1.577485,595.0,6.0925378151261,3625.06
23,875886.2800000005,2021-05-01,63278,1.034641,65470,653,0.997403,11.615091,1.164533,234.0,3.2497435897436,760.44
24,860607.62,2021-05-02,95276,1.03832,98927,1053,1.064421,8.79679,0.826439,374.0,2.3268449197861,870.24
25,279927.01999999984,2021-05-03,75454,1.050044,79230,816,1.029913,9.856494,0.957022,231.0,3.3806493506494,780.93
26,328274.49999999977,2021-05-04,56508,1.071193,60531,616,1.01766,11.770002,1.156575,174.0,4.0945402298851,712.45
27,345268.2199999999,2021-05-05,25153,1.05065,26427,276,1.044386,14.530215,1.391268,80.0,4.799875,383.99
28,402800.4399999999,2021-05-06,8594,1.025367,8812,147,1.66818,11.513845,0.690204,56.0,1.8117857142857,101.46
29,422419.1900000003,2021-05-07,22834,1.071516,24467,356,1.455021,13.21576,0.908287,120.0,2.6945833333333,323.35
30,956877.88,2021-05-08,48470,1.088735,52771,668,1.265847,16.07038,1.269536,192.0,4.4169270833333,848.05
