,Faturamento Total,Dia,Impressoes,Cliques,CTR,CPM,CPC,Conversões,TaxaConv,CustoConv,Custo
0,268153.53,2021-03-01,2604,347,27.29,302.79,2.8200000000000003,121.5,57.86,5.091359832635984,412.90999999999997
1,320842.06999999995,2021-03-02,2718,369,29.71,256.71000000000004,2.4600000000000004,127.66,61.08,4.811359832635984,404.03000000000003
2,335384.8700000001,2021-03-03,942662,364,30.71,326.0,2.86,139.0,75.34,10.06,499.92999999999995
3,358509.30999999994,2021-03-04,5268,519,20.98,407.74,3.6900000000000004,181.92,63.92999999999999,16.98,895.0699999999999
4,436681.2,2021-03-05,3975,654,31.169999999999998,478.84,3.59,311.0,81.22,12.059999999999999,916.91
5,471384.5500000001,2021-03-06,3994,583,31.75,521.12,3.87,177.0,60.190000000000005,13.54,1079.7
6,475207.85,2021-03-07,6373,1092,36.379999999999995,511.14,3.58,311.97,56.599999999999994,13.08,1730.41
7,162861.3,2021-03-08,3205,467,29.59,255.61,2.5900000000000003,209.5,76.87,11.63,419.49
8,159018.19999999998,2021-03-09,477504,237,31.700000000000003,252.60000000000002,2.7,56.0,47.56,12.43,336.85
9,172415.46000000002,2021-03-10,2520,359,29.46,396.65,3.82,193.0,96.31,15.49,541.8
10,184711.96,2021-03-11,4749,798,30.229999999999997,473.75,3.9899999999999998,307.62,68.44999999999999,13.81,983.08
11,311618.9699999999,2021-03-12,4126,600,28.479999999999997,351.44,2.9499999999999997,239.98,74.9,9.14,704.5
12,572486.8300000001,2021-03-13,5197,819,37.44,277.15000000000003,2.5100000000000002,423.0,97.2,9.62,908.37
13,578185.2000000001,2021-03-14,796896,706,40.41,337.68,2.6999999999999997,251.0,77.22,8.879999999999999,1304.26
14,134816.22999999998,2021-03-15,876326,320,31.240000000000002,307.8,2.8200000000000003,135.61,78.88,14.28,393.34999999999997
15,162315.96999999997,2021-03-16,896425,342,32.68,305.72,2.9400000000000004,126.0,69.31,11.46,408.13
16,363511.4799999999,2021-03-17,4329,826,32.24,503.21000000000004,3.79,334.17,76.66,10.3,1059.9
17,284151.11999999994,2021-03-18,4739,880,30.96,455.77,3.5,351.82,77.81,9.16,1015.6
18,406204.06000000006,2021-03-19,4753,863,33.08,453.34999999999997,3.23,387.45,84.53,8.19,942.97
19,924517.63,2021-03-20,7013,333,35.55,494.72,3.25,432.67,63.65,10.46,1520.73
20,1072231.9,2021-03-21,5988,1114,36.769999999999996,480.87,3.0199999999999996,524.9,84.55,9.95,1420.7
21,247444.13999999996,2021-03-22,3958,648,31.35,527.03,3.71,285.84000000000003,83.35,9.54,1024.3
22,336367.17000000004,2021-03-23,4620,482,20.9,403.11,3.85,204.0,81.44,10.11,822.79
23,333254.92,2021-03-24,3830,440,22.66,397.47,3.65,183.64,81.2,9.6,697.6
24,404861.42,2021-03-25,158711,499,26.259999999999998,260.53999999999996,2.6100000000000003,287.4,59.14,5.221359832635984,246.57
25,456217.82,2021-03-26,794482,359,28.740000000000002,416.29,3.55,176.16,81.35,12.120000000000001,430.28
26,912544.7,2021-03-27,4055,617,35.41,371.43,2.6799999999999997,270.33000000000004,95.06,7.8999999999999995,977.5
27,1016809.4800000002,2021-03-28,4655,766,33.379999999999995,530.7,3.39,340.0,85.68,8.95,1241.27
28,269931.52,2021-03-29,5226,1126,36.65,375.01,2.4,448.14,67.56,8.41,874.32
29,265935.3,2021-03-30,2171,338,31.24,223.34,1.8599999999999999,152.0,87.49000000000001,4.67,244.34
30,301346.8399999999,2021-03-31,3140,581,33.15,328.02,2.46,268.69,83.59,6.7,457.23
31,387224.82,2021-04-01,704086,399,25.740000000000002,343.1,2.9,150.0,71.46000000000001,8.39,445.13
32,636814.6200000001,2021-04-02,5932,1081,32.82,415.2,2.71,416.97,75.11,7.3,1240.72
33,636092.4799999999,2021-04-03,5064,604,25.119999999999997,365.76,2.86,278.88,81.16,8.25,791.4
34,696456.4800000001,2021-04-04,951117,381,37.62,285.71,1.83,168.0,84.00999999999999,5.720000000000001,307.89
35,180318.88,2021-04-05,1335000,236,34.76,204.63,1.75,120.0,81.71000000000001,8.95,133.14
36,187638.3,2021-04-06,1577000,304,36.59,271.5,2.12,163.0,92.27,6.550000000000001,194.16
37,240040.18000000005,2021-04-07,1573000,268,34.379999999999995,228.91000000000003,1.97,142.0,89.67,8.440000000000001,182.98999999999998
38,286657.31999999995,2021-04-08,899113,660,23.92,339.32,2.94,237.75,66.97,9.09,811.75
39,506971.62999999983,2021-04-09,973325,443,22.52,425.57,3.59,199.67,87.38,8.47,682.88
40,1117867.4400000002,2021-04-10,3418,530,30.78,456.41,3.29,237.01,86.31,8.42,770.4
41,1198845.3599999996,2021-04-11,3506,587,31.340000000000003,500.52,3.75,268.5,88.55000000000001,8.92,693.38
42,144902.85999999996,2021-04-12,810092,757,32.26,422.37,3.42,300.86,70.46,11.11,614.22
43,148076.83000000007,2021-04-13,875086,267,26.51,467.67999999999995,3.89,127.0,97.02,7.890000000000001,452.75
44,178628.66999999995,2021-04-14,1553000,292,36.5,347.36,2.66,163.0,96.72,8.67,249.32
45,196590.07,2021-04-15,835942,933,31.16,546.8,4.26,388.71,92.62,8.82,1243.1
46,287995.22,2021-04-16,931123,778,32.56,365.83000000000004,2.88,273.0,77.39,6.9399999999999995,570.46
47,496431.1299999999,2021-04-17,943173,340,33.19,430.14,3.22,122.33,72.47999999999999,8.65,479.09000000000003
48,597492.0899999999,2021-04-18,787905,536,37.03,615.3,3.78,248.02,97.31,7.38,638.9
49,169387.51999999996,2021-04-19,760028,369,19.32,393.30999999999995,4.1,156.49,93.73,8.36,558.69
50,220265.24999999997,2021-04-20,902170,603,34.42,584.84,4.0200000000000005,276.87,97.41999999999999,7.98,850.79
51,528510.6899999997,2021-04-21,4531,783,30.45,490.35,3.67,358.12,82.86,9.559999999999999,1127.8
52,204304.4900000001,2021-04-22,774311,304,26.75,340.20000000000005,3.5300000000000002,184.0,99.05000000000001,11.11,298.77
53,356133.46,2021-04-23,4272,608,26.72,522.96,4.22,248.0,72.03999999999999,13.84,846.3900000000001
54,829062.7200000001,2021-04-24,5063,534,21.39,487.86,4.48,199.0,72.08000000000001,13.15,960.06
55,816774.1199999999,2021-04-25,5446,1024,34.19,587.94,4.6,467.97,90.85,10.219999999999999,1258.1599999999999
56,236856.03,2021-04-26,979153,85,33.54,419.06,3.95,496.79999999999995,58.53,17.580000000000002,913.8399999999999
57,254057.86000000013,2021-04-27,892087,278,27.310000000000002,375.96000000000004,3.7100000000000004,151.0,113.31,5.99,342.69
58,580895.4,2021-04-28,875872,421,27.56,559.85,4.99,192.23,83.22999999999999,13.48,670.5699999999999
59,277583.7500000001,2021-04-29,812605,797,20.79,442.22,4.35,361.24,90.92,9.56,1051.18
60,406041.1499999996,2021-04-30,949782,433,29.240000000000002,535.6800000000001,4.79,218.75,86.68,15.38,566.06
61,279927.01999999984,2021-05-03,796652,397,30.03,486.64,3.76,187.98,95.78999999999999,7.75,505.52
62,328274.49999999977,2021-05-04,356327,304,14.85,422.09,5.470000000000001,137.16,130.21,8.86,656.24
63,422419.1900000003,2021-05-07,508535,521,27.03,452.95,4.59,258.21000000000004,102.87,8.69,514.8
