"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Nome da campanha",Alcance,Frequência,Impressões,"Cliques no link","CPM (custo por 1.000 impressões)","CTR (taxa de cliques no link)","Valor gasto (BRL)","Início dos relatórios","Término dos relatórios"
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-30,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,109017,1.2015373749048,130988,1419,13.914099,1.0833053409473,1822.58,2021-09-30,2021-09-30
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-30,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,218739,1.070549833363,234171,1770,9.63360109,0.75585789871504,2255.91,2021-09-30,2021-09-30
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-30,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,524663,1.0530397607607,552491,482,1.90296313,0.087241240128798,1051.37,2021-09-30,2021-09-30
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-30,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,618468,1.0979064397835,679020,810,2.67071662,0.11928956437218,1813.47,2021-09-30,2021-09-30
conv_lp_semana_do_gelato,2021-09-30,inactive,campaign,conv_lp_semana_do_gelato,0,0,0,,,,0,2021-09-30,2021-09-30
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-30,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,10383,1.1096022344217,11521,160,15.17403003,1.3887683360819,174.82,2021-09-30,2021-09-30
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-30,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,44773,1.0711589574074,47959,48,16.95406493,0.10008548968911,813.1,2021-09-30,2021-09-30
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-30,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,530297,1.0427081427955,552945,734,2.58698424,0.13274376294206,1430.46,2021-09-30,2021-09-30
2021_brand_topo_mkt-places-delivery_sazonal_dia-das-crianças_rec_impressions_interesses_tipo-m,2021-09-30,active,campaign,2021_brand_topo_mkt-places-delivery_sazonal_dia-das-crianças_rec_impressions_interesses_tipo-m,299248,1.1112054215901,332526,234,1.72437644,0.070370437198896,573.4,2021-09-30,2021-09-30
rec_topo_int_regioes_casquinha,2021-09-30,inactive,campaign,rec_topo_int_regioes_casquinha,72059,1.0758822631455,77527,106,2.90518142,0.13672655977917,225.23,2021-09-30,2021-09-30
conv_lp_semana_do_gelato,2021-09-29,inactive,campaign,conv_lp_semana_do_gelato,0,0,0,,,,0,2021-09-29,2021-09-29
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-29,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,559471,1.0566588795487,591170,714,2.68738265,0.12077744134513,1588.7,2021-09-29,2021-09-29
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-29,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,46392,1.0855966545956,50363,65,15.70438616,0.12906300260112,790.92,2021-09-29,2021-09-29
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-29,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,245498,1.0902492077329,267654,1588,8.67459481,0.59330329455192,2321.79,2021-09-29,2021-09-29
2021_brand_topo_mkt-places-delivery_sazonal_dia-das-crianças_rec_impressions_interesses_tipo-m,2021-09-29,active,campaign,2021_brand_topo_mkt-places-delivery_sazonal_dia-das-crianças_rec_impressions_interesses_tipo-m,185948,1.1226149246026,208748,131,1.66368061,0.062755092264357,347.29,2021-09-29,2021-09-29
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-29,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,153083,1.3427291077389,205549,1439,15.62357394,0.70007638081431,3211.41,2021-09-29,2021-09-29
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-29,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,9853,1.0956053993707,10795,186,15.23112552,1.7230199166281,164.42,2021-09-29,2021-09-29
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-29,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,528482,1.0383797366798,548765,437,1.86063251,0.079633358541452,1021.05,2021-09-29,2021-09-29
