,Dia,Investimento Mídia Delivery,CTR,Usuários LP Rappi,Cliques Rappi,Tx Conversão Lead,Faturamento Total Delivery,Faturamento Rappi,Faturamento Ifood,,Pedidos Rappi,Pedidos Ifood
quarta-feira,2020-09-01,"R$3.677,18","0,76%",2.426,833,"34,34%","R$49.324,90","R$33.718,00","R$15.606,90",,488,254
quinta-feira,2020-09-02,"R$4.152,49","0,90%",2.736,998,"36,48%","R$53.313,20","R$35.474,70","R$17.838,50",,518,282
sexta-feira,2020-09-03,"R$3.330,29","1,11%",2.480,735,"29,64%","R$113.438,50","R$83.605,80","R$29.832,70",,1126,441
sábado,2020-09-04,"R$3.253,14","1,19%",2.396,808,"33,72%","R$169.754,00","R$106.597,40","R$63.156,60",,1356,851
domingo,2020-09-05,"R$3.256,53","1,15%",2.831,955,"33,73%","R$193.220,00","R$113.217,60","R$80.002,40",,1.528,1.117
segunda-feira,2020-09-06,"R$3.008,76","1,02%",2.435,785,"32,24%","R$85.631,50","R$53.835,00","R$31.796,50",,735,479
terça-feira,2020-09-07,"R$4.526,56","0,88%",3.730,1.257,"33,70%","R$191.461,90","R$108.712,00","R$82.749,90",,1.470,1.174
quarta-feira,2020-09-08,"R$5.145,68","0,83%",3.082,858,"27,84%","R$53.161,60","R$36.658,60","R$16.503,00",,549,276
quinta-feira,2020-09-09,"R$5.680,01","0,86%",3.228,897,"27,79%","R$45.956,80","R$26.322,70","R$19.634,10",,386,318
sexta-feira,2020-09-10,"R$4.787,21","0,92%",2.633,668,"25,37%","R$77.740,20","R$46.394,60","R$31.345,60",,670,469
sábado,2020-09-11,"R$6.533,63","1,08%",3.981,1.010,"25,37%","R$165.690,80","R$97.907,70","R$67.783,10",,1.311,913
domingo,2020-09-12,"R$6.538,99","1,16%",4.933,1.313,"26,62%","R$251.654,80","R$151.916,40","R$99.738,40",,2.076,1.419
segunda-feira,2020-09-13,"R$4.618,43","0,95%",2.712,647,"23,86%","R$53.773,50","R$37.495,50","R$16.278,00",,583,270
terça-feira,2020-09-14,"R$6.510,76","1,01%",3.847,1.029,"26,75%","R$59.555,10","R$40.422,70","R$19.132,40",,627,322
quarta-feira,2020-09-15,"R$5.571,84","1,02%",2.237,511,"22,84%","R$46.827,00","R$29.176,00","R$17.651,00",,448,272
quinta-feira,2020-09-16,"R$6.829,06","0,94%",3.030,756,"24,95%","R$45.924,60","R$27.248,80","R$18.675,80",,391,269
sexta-feira,2020-09-17,"R$6.500,52","0,99%",2.883,649,"22,51%","R$77.715,00","R$51.000,20","R$26.714,80",,685,376
sábado,2020-09-18,"R$7.282,40","1,01%",3.437,926,"26,94%","R$169.761,20","R$105.554,30","R$64.206,90",,1.343,843
domingo,2020-09-19,"R$6.883,06","1,00%",4.303,1.174,"27,28%","R$237.480,70","R$142.976,10","R$94.504,60",,1.893,1.249
segunda-feira,2020-09-20,"R$9.361,85","0,93%",6.677,802,"12,01%","R$68.294,90","R$47.041,30","R$21.253,60",,674,334
terça-feira,2020-09-21,"R$11.562,07","0,97%",7.150,951,"13,30%","R$60.159,10","R$38.337,60","R$21.821,50",,561,317
quarta-feira,2020-09-22,"R$10.998,34","0,96%",6.761,895,"13,24%","R$45.451,40","R$31.625,10","R$13.826,30",,438,207
quinta-feira,2020-09-23,"R$14.961,02","0,91%",8.115,1.049,"12,93%","R$69.966,80","R$46.813,60","R$23.153,20",,631,360
sexta-feira,2020-09-24,"R$18.571,99","0,87%",8.575,1.138,"13,27%","R$106.013,90","R$76.833,30","R$29.180,60",,1040,438
sábado,2020-09-25,"R$17.038,89","0,86%",7.669,1.175,"15,32%","R$165.706,50","R$101.135,80","R$64.570,70",,1317,888
domingo,2020-09-26,"R$16.131,95","0,79%",6.127,1.168,"19,06%","R$237.211,60","R$150.123,70","R$87.087,90",,2028,1190
segunda-feira,2020-09-27,"R$6.656,78","0,89%",2.669,777,"29,11%","R$87.407,30","R$72.277,10","R$15.130,20",,813,238
terça-feira,2020-09-28,"R$7.504,22","0,86%",3.182,853,"26,81%","R$83.537,90","R$62.530,20","R$21.007,70",,783,347
quarta-feira,2020-09-29,"R$8.007,07","0,86%",3.547,790,"22,27%","R$74.459,80","R$56.376,20","R$18.083,60",,721,272
quinta-feira,2020-09-30,"R$11.779,41","0,35%",4.486,849,"18,93%","R$73.433,30","R$53.231,70","R$20.201,60",,663,313
,,"R$230.660,13","0,93%",124.298,"27.256,00","24,61%","R$3.213.027,80","R$2.064.559,70","R$1.148.468,10",,27.852,16.498
