# ----------------------------------------
# Todos os dados do website
# Face Relatório
# 20210901-20210930
# ----------------------------------------

Campanha,Data,Sessões,/delivery - Soma 'Peça Agora'(14) e 'Veja o Cardápio Completo'(12) (Conclusões da meta 13),Usuários
conv_lp_semana_do_gelato,20210924,5.183,319,5.026
conv_lp_semana_do_gelato,20210923,4.987,342,4.844
conv_lp_semana_do_gelato,20210925,4.075,214,3.965
conv_lp_semana_do_gelato,20210920,3.917,200,3.826
conv_lp_semana_do_gelato,20210921,3.626,170,3.528
conv_lp_semana_do_gelato,20210922,3.247,182,3.207
conv_lp_semana_do_gelato,20210926,2.689,175,2.603
conv_meio_lal_site,20210912,1.513,403,1.665
conv_meio_lal_site,20210919,1.483,435,1.599
conv_meio_lal_site,20210930,1.359,335,1.427
conv_fundo_rmkt_site,20210912,1.290,440,1.229
conv_meio_lal_site,20210914,1.245,367,1.333
conv_meio_lal_site,20210911,1.234,316,1.356
conv_meio_lal_site,20210929,1.206,314,1.287
conv_meio_lal_site,20210918,1.203,357,1.313
conv_fundo_rmkt_site,20210930,1.166,325,1.128
conv_fundo_rmkt_site,20210907,1.145,457,1.100
conv_fundo_rmkt_site,20210909,1.144,338,1.101
conv_fundo_rmkt_site,20210911,1.137,405,1.099
conv_fundo_rmkt_site,20210908,1.133,365,1.075
conv_meio_lal_site,20210928,1.133,378,1.196
conv_meio_lal_site,20210926,1.130,389,1.177
conv_fundo_rmkt_site,20210929,1.078,299,1.058
conv_meio_lal_site,20210902,1.078,496,1.063
conv_meio_lal_site,20210921,1.068,273,1.151
conv_fundo_rmkt_site,20210914,1.048,378,992
conv_meio_lal_site,20210907,1.038,433,1.028
conv_fundo_rmkt_site,20210919,1.013,376,972
conv_meio_lal_site,20210909,1.012,354,998
conv_fundo_rmkt_site,20210925,1.006,367,970
conv_meio_lal_site,20210925,1.006,350,991
conv_meio_lal_site,20210922,967,260,1.037
conv_meio_lal_site,20210901,958,439,948
conv_fundo_rmkt_site,20210918,936,323,911
conv_meio_lal_site,20210903,935,321,925
conv_fundo_rmkt_site,20210926,922,349,876
conv_meio_lal_site,20210916,907,269,986
conv_meio_lal_site,20210908,869,297,858
conv_fundo_rmkt_site,20210924,824,278,798
conv_meio_lal_site,20210913,821,219,886
conv_fundo_rmkt_site,20210916,817,277,779
conv_meio_lal_site,20210924,812,280,804
conv_fundo_rmkt_site,20210928,809,286,778
conv_meio_lal_site,20210917,797,219,863
conv_meio_lal_site,20210920,776,222,834
conv_fundo_rmkt_site,20210927,770,259,741
conv_fundo_rmkt_site,20210921,768,252,737
conv_meio_lal_site,20210927,761,331,753
conv_fundo_rmkt_site,20210910,755,259,733
conv_meio_lal_site,20210910,754,220,847
conv_fundo_rmkt_site,20210903,733,231,706
conv_fundo_rmkt_site,20210917,717,207,684
conv_fundo_rmkt_site,20210905,705,333,676
conv_fundo_rmkt_site,20210906,677,275,655
conv_meio_lal_site,20210906,671,288,656
conv_fundo_rmkt_site,20210913,661,221,636
conv_fundo_rmkt_site,20210902,656,281,632
conv_fundo_rmkt_site,20210904,643,255,624
conv_fundo_rmkt_site,20210923,643,213,623
conv_meio_lal_site,20210923,638,227,631
conv_fundo_rmkt_site,20210922,616,208,607
conv_meio_lal_site,20210905,608,266,596
conv_meio_lal_site,20210904,591,284,573
conv_fundo_rmkt_site,20210920,572,176,542
2021_brand_topo_delivery_dia-das-crianças_rec_impressions_interesses,20210929,569,1,558
conv_meio_lal_site,20210915,554,144,576
conv_fundo_rmkt_site,20210901,553,251,538
conv_fundo_rmkt_site,20210915,524,202,508
rec_topo_int_regioes_speciali_ninho_al_cafe,20210903,414,0,404
rec_topo_int_regioes_principale_primavera - BL,20210926,361,7,355
2021_perf_fundo_delivery_dia-das-criancas_conv_rmkt,20210928,330,0,329
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210907,309,37,309
rec_topo_int_regioes_principale_primavera - BL,20210925,309,6,306
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210905,303,31,302
rec_topo_int_regioes_principale_primavera - BL,20210927,303,3,301
rec_topo_int_regioes_principale_primavera - BL,20210928,299,8,300
rec_topo_int_regioes_principale_primavera - BL,20210912,293,8,294
rec_topo_int_regioes_principale_primavera - BL,20210922,290,6,287
rec_topo_int_regioes_principale_primavera - BL,20210929,284,5,283
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210906,278,22,273
rec_topo_int_regioes_principale_primavera - BL,20210924,267,6,264
rec_topo_int_regioes_speciali_ninho_al_cafe,20210907,264,29,264
rec_topo_int_regioes_principale_primavera - BL,20210911,260,5,260
rec_topo_int_regioes_principale_primavera - BL,20210913,248,6,246
rec_topo_int_regioes_principale_primavera - BL,20210919,242,4,240
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210904,239,18,239
rec_topo_int_regioes_principale_primavera - BL,20210921,235,3,234
rec_topo_int_regioes_principale_primavera - BL,20210918,228,4,226
rec_topo_int_regioes_principale_primavera - BL,20210916,220,3,216
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210901,215,15,213
rec_topo_int_regioes_principale_primavera - BL,20210930,208,1,207
rec_topo_int_regioes_speciali_ninho_al_cafe,20210912,208,22,207
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210908,204,19,205
rec_topo_int_regioes_principale_primavera+-+BL,20210903,202,0,202
rec_topo_int_regioes_principale_primavera - BL,20210909,200,7,199
rec_topo_int_regioes_speciali_ninho_al_cafe,20210911,199,12,198
rec_topo_int_regioes_speciali_crocante_vegano,20210926,198,10,195
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210930,196,10,196
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210912,194,27,193
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210902,191,14,191
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210929,191,8,190
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210925,190,18,191
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210911,185,16,185
rec_topo_int_regioes_speciali_crocante_vegano,20210925,185,9,184
rec_topo_int_regioes_principale_primavera - BL,20210923,184,3,184
rec_topo_int_regioes_principale_primavera - BL,20210917,183,3,183
rec_topo_int_regioes_speciali_crocante_vegano,20210924,181,6,180
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210903,180,15,178
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210926,178,10,177
rec_topo_int_regioes_principale_primavera - BL,20210908,171,8,171
rec_topo_int_regioes_principale_primavera - BL,20210920,167,1,166
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210928,164,9,163
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210913,160,10,158
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210922,159,6,158
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210919,158,20,158
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210909,157,10,156
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210927,157,10,157
rec_topo_int_regioes_principale_primavera - BL,20210914,156,6,155
rec_topo_int_regioes_speciali_ninho_al_cafe,20210919,152,11,152
rec_topo_int_regioes_principale_primavera - BL,20210910,150,8,150
rec_topo_int_regioes_speciali_crocante_vegano,20210909,148,0,148
rec_topo_int_regioes_speciali_crocante_vegano,20210929,145,4,141
rec_topo_int_regioes_speciali_ninho_al_cafe,20210916,145,14,141
rec_topo_int_regioes_speciali_ninho_al_cafe,20210908,144,19,144
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210924,143,7,143
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210916,136,6,135
rec_topo_int_regioes_speciali_ninho_al_cafe,20210909,136,12,136
rec_topo_int_regioes_speciali_ninho_al_cafe,20210917,134,7,133
rec_topo_int_regioes_speciali_crocante_vegano,20210928,130,3,128
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210920,128,10,128
rec_topo_int_regioes_speciali_crocante_vegano,20210913,128,0,124
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210921,127,7,126
rec_topo_int_regioes_speciali_ninho_al_cafe,20210914,123,8,121
engaj_post_topo_int,20210912,120,14,120
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210917,120,13,116
rec_topo_int_regioes_speciali_crocante_vegano,20210922,120,6,117
rec_topo_int_regioes_speciali_crocante_vegano,20210923,119,7,117
rec_topo_int_regioes_speciali_ninho_al_cafe,20210918,118,11,118
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210918,117,15,117
rec_topo_int_regioes_speciali_crocante_vegano,20210930,116,2,116
rec_topo_int_regioes_speciali_crocante_vegano,20210921,113,4,113
rec_topo_int_regioes_speciali_ninho_al_cafe,20210913,110,8,108
rec_topo_int_regioes_principale_primavera - BL,20210915,107,2,106
rec_topo_int_regioes_leva_junto_uma_viagem - BL,20210914,106,12,107
