# ----------------------------------------
# Todos os dados do website
# Google Relatório
# 20210901-20210930
# ----------------------------------------

Campanha,Data,Sessões,/delivery - Soma 'Peça Agora'(14) e 'Veja o Cardápio Completo'(12) (Conclusões da meta 13),Usuários
Rac_Search_Institucional,20210912,1.239,298,992
Rac_Search_Institucional,20210905,1.061,227,891
Rac_Search_Institucional,20210907,1.057,250,887
Rac_Search_Institucional,20210919,997,229,796
Rac_Search_Institucional,20210923,915,188,776
Rac_Search_Institucional,20210925,875,158,716
Rac_Search_Institucional,20210904,861,178,699
Rac_Search_Institucional,20210906,824,146,694
Rac_Search_Institucional,20210924,808,166,705
Rac_Search_Institucional,20210911,743,162,600
Rac_Search_Institucional,20210914,732,161,624
Rac_Search_Institucional,20210926,727,147,600
Rac_Search_Institucional,20210913,720,153,614
Rac_Search_Institucional,20210908,696,128,588
Rac_Search_Institucional,20210918,677,133,539
Rac_Search_Institucional,20210921,661,141,573
Rac_Search_Institucional,20210922,652,131,540
Rac_Search_Institucional,20210909,636,124,532
Rac_Search_Institucional,20210917,635,148,532
Rac_Search_Institucional,20210902,612,119,507
Rac_Search_Institucional,20210910,604,122,495
Rac_Search_Institucional,20210929,595,131,504
Rac_Search_Institucional,20210916,594,117,487
Rac_Discovery_Principales,20210922,589,58,578
Rac_Search_Institucional,20210920,589,100,491
Rac_Search_Institucional,20210928,559,120,470
Rac_Search_Institucional,20210901,539,98,451
Rac_Search_Institucional,20210930,529,109,477
Rac_Search_Institucional,20210927,525,108,441
Rac_Discovery_Principales,20210924,477,35,465
Rac_Search_Institucional,20210915,473,86,410
Rac_Search_Delivery,20210919,472,95,430
Rac_Search_Institucional,20210903,472,101,389
Rac_Search_Delivery,20210912,460,105,435
Rac_Discovery_Principales_1,20210914,434,70,425
Rac_Search_Delivery,20210905,433,87,405
Rac_Discovery_Principales_1,20210912,386,51,375
Rac_Discovery_Principales_1,20210911,378,43,372
Rac_Search_Delivery,20210918,377,86,340
Rac_Discovery_Principales_1,20210915,364,45,357
Rac_Discovery_Principales_1,20210916,357,49,347
Rac_Discovery_Principales,20210921,354,45,350
Rac_Discovery_Principales,20210923,350,26,345
Rac_Discovery_Principales_1,20210920,347,37,329
Rac_Search_Delivery,20210911,338,77,314
Rac_Discovery_Principales_1,20210917,336,28,326
Rac_Search_Delivery,20210926,330,79,292
Rac_Search_Delivery,20210907,321,68,294
Rac_Search_Delivery,20210904,291,61,269
Rac_Search_Delivery,20210920,280,53,249
Rac_Search_Delivery,20210925,275,60,261
Rac_Search_Delivery,20210906,274,51,267
Rac_Search_Delivery,20210921,263,60,242
Rac_Search_Delivery,20210928,263,43,260
Rac_Discovery_Principales,20210925,252,20,243
Rac_Discovery_Principales_1,20210919,247,28,241
Rac_Search_Delivery,20210923,245,47,225
rac_trueview_for_reach_semana_gelato,20210921,243,4,219
Rac_Search_Delivery,20210917,239,39,216
Rac_Search_Delivery,20210909,228,30,214
Rac_Search_Delivery,20210903,224,52,202
Rac_Search_Delivery,20210908,224,35,207
Rac_Search_Delivery,20210910,223,37,204
rac_trueview_for_reach_semana_gelato,20210922,219,4,205
Rac_Search_Delivery,20210916,218,37,202
Rac_Search_Delivery,20210927,218,50,219
Rac_Discovery_Principales,20210930,217,23,210
(not set),20210921,213,7,200
Rac_Search_Delivery,20210922,208,44,201
Rac_Search_Delivery,20210929,207,33,212
Rac_Discovery_Principales_1,20210907,205,40,199
Rac_Search_Delivery,20210914,205,44,194
Rac_Search_Delivery,20210902,204,39,194
Rac_Search_Delivery,20210930,201,29,200
Rac_Search_Delivery,20210915,197,27,173
Rac_Discovery_Principales_1,20210902,193,50,190
Rac_Search_Delivery,20210924,192,42,185
Rac_Search_Delivery,20210901,185,32,176
Rac_Discovery_Principales_1,20210908,184,27,180
rac_trueview_for_reach_semana_gelato,20210924,183,4,169
Rac_Search_Delivery,20210913,180,27,170
Rac_Discovery_Principales_1,20210910,173,24,165
Rac_Discovery_Principales_1,20210909,168,40,162
rac_trueview_for_reach_semana_gelato,20210923,163,2,152
(not set),20210922,160,8,155
rac_trueview_for_reach_semana_gelato,20210925,160,1,143
(not set),20210924,158,4,157
Rac_Discovery_Principales_1,20210903,154,26,145
rac_trueview_for_reach_semana_gelato,20210926,154,0,143
Rac_Discovery_Principales_1,20210905,150,37,150
(not set),20210925,148,3,144
Rac_Video_Action,20210901,141,0,119
(not set),20210926,134,5,132
Rac_Discovery_Principales_1,20210913,132,16,129
rac_trueview_for_reach_semana_gelato,20210920,131,6,131
(not set),20210923,125,2,122
Rac_Discovery_Principales_1,20210904,117,24,115
Rac_Video_Action,20210902,103,0,86
Rac_Discovery_Principales,20210927,97,24,96
Rac_Discovery_Principales,20210928,89,18,88
Rac_Discovery_Principales_1,20210918,89,15,86
Rac_Discovery_Principales,20210926,86,18,83
(not set),20210920,79,4,74
Rac_Video_Action,20210903,79,0,74
Rac_Video_Action,20210905,77,0,65
Rac_Discovery_Principales_1,20210901,76,6,73
Rac_Video_Action,20210904,74,0,63
Rac_Video_Action,20210906,73,0,56
Rac_Video_Action,20210909,66,0,54
Rac_Video_Action,20210910,56,0,47
Rac_Discovery_Principales_1,20210906,53,18,53
Rac_Video_Action,20210911,53,0,46
Rac_Video_Action,20210908,51,0,46
Rac_Video_Action,20210907,50,0,43
(not set),20210902,42,8,45
(not set),20210914,42,5,38
(not set),20210916,40,3,34
Rac_DSA,20210919,40,2,41
(not set),20210911,38,4,31
(not set),20210919,35,4,32
Rac_Video_Action,20210920,34,0,28
(not set),20210912,33,2,28
(not set),20210917,33,4,28
(not set),20210927,33,3,27
Rac_Discovery_Principales,20210929,33,5,34
(not set),20210903,32,4,30
(not set),20210930,32,5,33
Rac_DSA,20210912,32,4,32
