# ----------------------------------------
# Todos os dados do website
# Pinterest Relatório 
# 20210901-20210930
# ----------------------------------------

Campanha,Data,Sessões,/delivery - Soma 'Peça Agora'(14) e 'Veja o Cardápio Completo'(12) (Conclusões da meta 13),Usuários
trafego_principales,20210923,500,4,491
trafego_principales,20210924,396,11,391
trafego_principales,20210922,369,6,365
trafego_principales,20210925,367,4,360
trafego_principales,20210929,334,6,329
trafego_principales,20210928,333,6,330
trafego_principales,20210926,332,6,326
trafego_principales,20210927,326,3,325
trafego_principales,20210921,321,5,321
trafego_principales,20210930,314,7,317
trafego_principales,20210913,266,11,263
trafego_principales,20210914,266,8,262
trafego_principales,20210920,263,7,259
trafego_principales,20210917,257,8,250
trafego_principales,20210919,257,7,254
trafego_principales,20210918,235,7,232
trafego_principales,20210911,233,6,230
trafego_principales,20210912,232,14,227
trafego_principales,20210916,220,5,218
trafego_principales,20210915,208,6,207
trafego_principales,20210907,207,7,206
trafego_principales,20210909,205,10,202
trafego_principales,20210910,181,6,179
trafego_principales,20210908,152,4,154
trafego_principales,20210902,136,12,137
trafego_principales,20210903,110,4,110
trafego_principales,20210904,106,4,105
trafego_principales,20210905,104,4,104
trafego_principales,20210906,101,5,100
trafego_principales,20210901,78,5,78
trafego_site_dolce_far_niente,20210901,24,0,23
delivery,20210904,5,2,5
delivery,20210908,5,0,5
delivery,20210919,4,0,3
delivery,20210902,3,0,3
delivery,20210909,3,0,3
delivery,20210920,3,1,3
delivery,20210901,2,0,2
delivery,20210906,2,0,2
delivery,20210907,2,0,2
delivery,20210913,2,0,2
delivery,20210916,2,0,2
delivery,20210921,2,0,2
delivery,20210929,2,0,2
delivery,20210905,1,0,1
delivery,20210911,1,0,1
delivery,20210914,1,0,1
delivery,20210917,1,0,1
delivery,20210918,1,0,1
delivery,20210922,1,0,1
delivery,20210923,1,0,1
delivery,20210925,1,0,1
delivery,20210928,1,0,1
delivery,20210930,1,0,1
,,7.480,201,7.401

Índice do dia,Sessões
01/09/2021,104
02/09/2021,139
03/09/2021,110
04/09/2021,111
05/09/2021,105
06/09/2021,103
07/09/2021,209
08/09/2021,157
09/09/2021,208
10/09/2021,181
11/09/2021,234
12/09/2021,232
13/09/2021,268
14/09/2021,267
15/09/2021,208
16/09/2021,222
17/09/2021,258
18/09/2021,236
19/09/2021,261
20/09/2021,266
21/09/2021,323
22/09/2021,370
23/09/2021,501
24/09/2021,396
25/09/2021,368
26/09/2021,332
27/09/2021,326
28/09/2021,334
29/09/2021,336
30/09/2021,315
,7.480
