Acompanhamento Diário - 2021
1 de Setembro de 2021 - 30 de Setembro de 2021
Dia,Campanha,Código da moeda,Custo,Impr.,Cliques,CPC médio,CPM médio,CTR
2021-09-01,Rac_Search_Delivery,BRL,"226,98",2.604,228,"1,00","87,17","8,76"
2021-09-01,Rac_Search_Institucional,BRL,"443,74",2.702,554,"0,80","164,23","20,50"
2021-09-01,Rac_Discovery_Principales_1,BRL,"77,02",5.067,117,"0,66","15,20","2,31"
2021-09-01,Rac_Bumper_Transição,BRL,"0,85",239,0, --,"3,55","0,00"
2021-09-01,Rac_Video_Action,BRL,"0,29",13,1,"0,29","22,34","7,69"
2021-09-02,Rac_Search_Delivery,BRL,"226,48",2.635,244,"0,93","85,95","9,26"
2021-09-02,Rac_Search_Institucional,BRL,"514,31",3.129,648,"0,79","164,37","20,71"
2021-09-02,Rac_Discovery_Principales_1,BRL,"408,10",21.298,354,"1,15","19,16","1,66"
2021-09-03,Rac_Search_Delivery,BRL,"169,02",2.736,255,"0,66","61,78","9,32"
2021-09-03,Rac_Search_Institucional,BRL,"554,36",2.170,501,"1,11","255,47","23,09"
2021-09-03,Rac_Discovery_Principales_1,BRL,"251,26",15.048,270,"0,93","16,70","1,79"
2021-09-04,Rac_Search_Delivery,BRL,"242,35",3.498,350,"0,69","69,28","10,01"
2021-09-04,Rac_Search_Institucional,BRL,"618,95",4.083,982,"0,63","151,59","24,05"
2021-09-04,Rac_Discovery_Principales_1,BRL,"240,78",13.581,192,"1,25","17,73","1,41"
2021-09-05,Rac_Search_Delivery,BRL,"289,07",4.797,503,"0,57","60,26","10,49"
2021-09-05,Rac_Search_Institucional,BRL,"623,53",5.153,1.284,"0,49","121,00","24,92"
2021-09-05,Rac_Discovery_Principales_1,BRL,"235,10",16.572,268,"0,88","14,19","1,62"
2021-09-06,Rac_Search_Delivery,BRL,"202,04",3.552,340,"0,59","56,88","9,57"
2021-09-06,Rac_Search_Institucional,BRL,"434,97",4.111,914,"0,48","105,81","22,23"
2021-09-06,Rac_Discovery_Principales_1,BRL,"121,67",5.117,95,"1,28","23,78","1,86"
2021-09-07,Rac_Search_Delivery,BRL,"198,69",3.163,363,"0,55","62,82","11,48"
2021-09-07,Rac_Search_Institucional,BRL,"485,44",4.958,1.256,"0,39","97,91","25,33"
2021-09-07,Rac_Discovery_Principales_1,BRL,"365,51",23.121,384,"0,95","15,81","1,66"
2021-09-08,Rac_Search_Delivery,BRL,"135,38",2.632,235,"0,58","51,44","8,93"
2021-09-08,Rac_Search_Institucional,BRL,"528,14",3.545,698,"0,76","148,98","19,69"
2021-09-08,Rac_Discovery_Principales_1,BRL,"273,79",22.822,327,"0,84","12,00","1,43"
2021-09-09,Rac_Search_Delivery,BRL,"195,16",3.187,259,"0,75","61,24","8,13"
2021-09-09,Rac_Search_Institucional,BRL,"464,74",3.163,639,"0,73","146,93","20,20"
2021-09-09,Rac_Discovery_Principales_1,BRL,"204,66",16.395,321,"0,64","12,48","1,96"
2021-09-10,Rac_Search_Delivery,BRL,"160,29",2.723,262,"0,61","58,87","9,62"
2021-09-10,Rac_Search_Institucional,BRL,"515,04",2.589,611,"0,84","198,93","23,60"
2021-09-10,Rac_Discovery_Principales_1,BRL,"236,83",19.966,332,"0,71","11,86","1,66"
2021-09-11,Rac_Search_Delivery,BRL,"184,11",3.956,389,"0,47","46,54","9,83"
2021-09-11,Rac_Search_Institucional,BRL,"612,13",3.416,837,"0,73","179,19","24,50"
