"Início dos relatórios","Término dos relatórios","Nome da campanha",Alcance,Impressões,"Valor gasto (BRL)","CTR (taxa de cliques no link)","Cliques no link",Frequência
2021-09-30,2021-09-30,2021_brand_topo_mkt-places-delivery_sazonal_dia-das-crianças_rec_impressions_interesses_tipo-m,299248,332526,573.4,0.07037,234,1.111205
2021-09-30,2021-09-30,conv_lp_semana_do_gelato,0,0,0,,,0
2021-09-30,2021-09-30,rec_topo_int_regioes_casquinha,72059,77527,225.23,0.136727,106,1.075882
2021-09-30,2021-09-30,2021_perf_fundo_wp_aon_msg_chat_tipo-p,10383,11521,174.82,1.388768,160,1.109602
2021-09-30,2021-09-30,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,530297,552945,1430.46,0.132744,734,1.042708
2021-09-30,2021-09-30,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,618468,679020,1813.47,0.11929,810,1.097906
2021-09-30,2021-09-30,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,524663,552491,1051.37,0.087241,482,1.05304
2021-09-30,2021-09-30,2021_perf_meio_mkt-places-delivery_aon_conv_lead,218739,234171,2255.91,0.755858,1770,1.07055
2021-09-30,2021-09-30,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,109017,130988,1822.58,1.083305,1419,1.201537
2021-09-30,2021-09-30,2021_geral_topo_engaj_aon_engaj_tipo-p,44773,47959,813.1,0.100085,48,1.071159
2021-09-29,2021-09-29,2021_brand_topo_mkt-places-delivery_sazonal_dia-das-crianças_rec_impressions_interesses_tipo-m,185948,208748,347.29,0.062755,131,1.122615
2021-09-29,2021-09-29,conv_lp_semana_do_gelato,0,0,0,,,0
2021-09-29,2021-09-29,rec_topo_int_regioes_casquinha,70682,77091,213.81,0.116745,90,1.090674
2021-09-29,2021-09-29,2021_perf_fundo_wp_aon_msg_chat_tipo-p,9853,10795,164.42,1.72302,186,1.095605
2021-09-29,2021-09-29,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,559471,591170,1588.7,0.120777,714,1.056659
2021-09-29,2021-09-29,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,991431,1081310,2901.3,0.098954,1070,1.090656
2021-09-29,2021-09-29,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,528482,548765,1021.05,0.079633,437,1.03838
2021-09-29,2021-09-29,2021_perf_meio_mkt-places-delivery_aon_conv_lead,245498,267654,2321.79,0.593303,1588,1.090249
2021-09-29,2021-09-29,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,153083,205549,3211.41,0.700076,1439,1.342729
2021-09-29,2021-09-29,2021_geral_topo_engaj_aon_engaj_tipo-p,46392,50363,790.92,0.129063,65,1.085597
2021-09-28,2021-09-28,conv_lp_semana_do_gelato,0,0,0,,,0
2021-09-28,2021-09-28,rec_topo_int_regioes_casquinha,72174,74499,181.95,0.120807,90,1.032214
2021-09-28,2021-09-28,2021_perf_fundo_wp_aon_msg_chat_tipo-p,5367,6116,90.38,1.716808,105,1.139557
2021-09-28,2021-09-28,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,572020,580320,1376.34,0.110973,644,1.01451
2021-09-28,2021-09-28,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,974825,1057865,2467.64,0.098595,1043,1.085185
2021-09-28,2021-09-28,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,569843,606632,932.41,0.078466,476,1.06456
2021-09-28,2021-09-28,2021_perf_meio_mkt-places-delivery_aon_conv_lead,218042,236605,2222.78,0.600579,1421,1.085135
2021-09-28,2021-09-28,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,144638,191533,2799.39,0.535678,1026,1.324223
2021-09-28,2021-09-28,2021_geral_topo_engaj_aon_engaj_tipo-p,53277,57327,785.43,0.150017,86,1.076018
2021-09-27,2021-09-27,conv_lp_semana_do_gelato,0,0,0,,,0
2021-09-27,2021-09-27,rec_topo_int_regioes_casquinha,55869,61341,138.44,0.101074,62,1.097943
2021-09-27,2021-09-27,2021_perf_fundo_wp_aon_msg_chat_tipo-p,4639,5389,84.11,1.484505,80,1.161673
2021-09-27,2021-09-27,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,624743,636403,1403.53,0.104494,665,1.018664
2021-09-27,2021-09-27,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1041110,1179230,2527.1,0.094214,1111,1.132666
2021-09-27,2021-09-27,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,479725,517708,649.7,0.071469,370,1.079177
2021-09-27,2021-09-27,2021_perf_meio_mkt-places-delivery_aon_conv_lead,158487,170847,1460.75,0.529714,905,1.077987
2021-09-27,2021-09-27,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,138874,190430,2751.91,0.520401,991,1.371243
2021-09-27,2021-09-27,2021_geral_topo_engaj_aon_engaj_tipo-p,64059,68146,619.38,0.093916,64,1.063801
