RogerSetembro
1 de Setembro de 2021 - 30 de Setembro de 2021
Dia,Campanha,Código da moeda,Cliques,Impr.,CTR,Custo
2021-09-01,Rac_Search_Delivery,BRL,228,2.604,"8,76","226,98"
2021-09-01,Rac_Search_Institucional,BRL,554,2.702,"20,50","443,74"
2021-09-02,Rac_Search_Delivery,BRL,244,2.635,"9,26","226,48"
2021-09-02,Rac_Search_Institucional,BRL,648,3.129,"20,71","514,31"
2021-09-03,Rac_Search_Delivery,BRL,255,2.736,"9,32","169,02"
2021-09-03,Rac_Search_Institucional,BRL,501,2.170,"23,09","554,36"
2021-09-04,Rac_Search_Delivery,BRL,350,3.498,"10,01","242,35"
2021-09-04,Rac_Search_Institucional,BRL,982,4.083,"24,05","618,95"
2021-09-05,Rac_Search_Delivery,BRL,503,4.797,"10,49","289,07"
2021-09-05,Rac_Search_Institucional,BRL,1.284,5.153,"24,92","623,53"
2021-09-06,Rac_Search_Delivery,BRL,340,3.552,"9,57","202,04"
2021-09-06,Rac_Search_Institucional,BRL,914,4.111,"22,23","434,97"
2021-09-07,Rac_Search_Delivery,BRL,363,3.163,"11,48","198,69"
2021-09-07,Rac_Search_Institucional,BRL,1.256,4.958,"25,33","485,44"
2021-09-08,Rac_Search_Delivery,BRL,235,2.632,"8,93","135,38"
2021-09-08,Rac_Search_Institucional,BRL,698,3.545,"19,69","528,14"
2021-09-09,Rac_Search_Delivery,BRL,259,3.187,"8,13","195,16"
2021-09-09,Rac_Search_Institucional,BRL,639,3.163,"20,20","464,74"
2021-09-10,Rac_Search_Delivery,BRL,262,2.723,"9,62","160,29"
2021-09-10,Rac_Search_Institucional,BRL,611,2.589,"23,60","515,04"
2021-09-11,Rac_Search_Delivery,BRL,389,3.956,"9,83","184,11"
2021-09-11,Rac_Search_Institucional,BRL,837,3.416,"24,50","612,13"
2021-09-12,Rac_Search_Delivery,BRL,529,6.146,"8,61","253,15"
2021-09-12,Rac_Search_Institucional,BRL,1.490,5.776,"25,80","655,36"
2021-09-13,Rac_Search_Delivery,BRL,202,2.503,"8,07","97,55"
2021-09-13,Rac_Search_Institucional,BRL,723,3.329,"21,72","371,23"
2021-09-14,Rac_Search_Delivery,BRL,225,2.539,"8,86","108,14"
2021-09-14,Rac_Search_Institucional,BRL,753,3.294,"22,86","442,25"
2021-09-15,Rac_Search_Delivery,BRL,327,3.600,"9,08","232,18"
2021-09-15,Rac_Search_Institucional,BRL,644,2.641,"24,38","428,91"
2021-09-16,Rac_Search_Delivery,BRL,282,3.611,"7,81","239,81"
2021-09-16,Rac_Search_Institucional,BRL,615,2.758,"22,30","394,39"
2021-09-17,Rac_Search_Delivery,BRL,274,3.740,"7,33","262,81"
2021-09-17,Rac_Search_Institucional,BRL,680,3.239,"20,99","481,82"
2021-09-18,Rac_Search_Delivery,BRL,437,4.695,"9,31","332,04"
2021-09-18,Rac_Search_Institucional,BRL,782,3.177,"24,61","647,88"
2021-09-19,Rac_Search_Delivery,BRL,525,5.538,"9,48","322,89"
2021-09-19,Rac_Search_Institucional,BRL,1.100,4.497,"24,46","698,60"
2021-09-20,Rac_Search_Delivery,BRL,306,3.771,"8,11","201,88"
2021-09-20,Rac_Search_Institucional,BRL,586,2.755,"21,27","432,70"
2021-09-20,rac_trueview_for_reach_semana_gelato,BRL,545,311.393,"0,18","2214,57"
2021-09-21,Rac_Search_Delivery,BRL,280,3.637,"7,70","196,14"
2021-09-21,Rac_Search_Institucional,BRL,679,2.966,"22,89","416,61"
2021-09-21,rac_trueview_for_reach_semana_gelato,BRL,789,328.143,"0,24","2206,98"
2021-09-22,Rac_Search_Delivery,BRL,239,2.807,"8,51","147,43"
2021-09-22,Rac_Search_Institucional,BRL,672,3.092,"21,73","369,92"
2021-09-22,rac_trueview_for_reach_semana_gelato,BRL,839,323.023,"0,26","2132,02"
2021-09-23,Rac_Search_Delivery,BRL,278,3.382,"8,22","179,57"
2021-09-23,Rac_Search_Institucional,BRL,899,3.792,"23,71","401,00"
2021-09-23,rac_trueview_for_reach_semana_gelato,BRL,676,322.740,"0,21","2132,39"
2021-09-24,Rac_Search_Delivery,BRL,227,2.739,"8,29","151,71"
2021-09-24,Rac_Search_Institucional,BRL,876,3.807,"23,01","454,03"
2021-09-24,rac_trueview_for_reach_semana_gelato,BRL,728,313.960,"0,23","2057,42"
2021-09-25,Rac_Search_Delivery,BRL,334,3.895,"8,58","219,49"
2021-09-25,Rac_Search_Institucional,BRL,1.004,4.546,"22,09","656,54"
2021-09-25,rac_trueview_for_reach_semana_gelato,BRL,700,326.634,"0,21","2122,43"
2021-09-26,Rac_Search_Delivery,BRL,385,4.172,"9,23","236,94"
2021-09-26,Rac_Search_Institucional,BRL,831,3.136,"26,50","654,19"
2021-09-26,rac_trueview_for_reach_semana_gelato,BRL,680,318.398,"0,21","2080,77"
2021-09-27,Rac_Search_Delivery,BRL,251,2.997,"8,38","138,94"
2021-09-27,Rac_Search_Institucional,BRL,492,2.619,"18,79","437,46"
2021-09-28,Rac_Search_Delivery,BRL,311,3.664,"8,49","178,84"
2021-09-28,Rac_Search_Institucional,BRL,606,2.768,"21,89","429,68"
2021-09-29,Rac_Search_Delivery,BRL,236,3.559,"6,63","167,00"
2021-09-29,Rac_Search_Institucional,BRL,624,2.844,"21,94","408,28"
2021-09-30,Rac_Search_Delivery,BRL,257,3.612,"7,12","183,85"
2021-09-30,Rac_Search_Institucional,BRL,564,2.709,"20,82","423,80"
