"Início dos relatórios","Término dos relatórios","Nome da campanha",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPM (custo por 1.000 impressões) (BRL)","CPC (custo por clique no link) (BRL)",Resultados,"Indicador de resultados","Custo por resultados",custom_derived_metrics:10226754541960158,custom_derived_metrics:2934961660156456,"Valor gasto (BRL)"
2021-10-31,2021-10-31,2021_perf_meio_aon_mkt-places-casa_rappi-turbo_traf_clicks_tipo-p,26029,1.049061,27306,1359,4.976928,13.457848,0.270405,1359,actions:link_click,0.27040470934511,0,,367.48
2021-10-31,2021-10-31,principale_junino_Meio_LAL_24/05/2021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_brand_topo_sazonal_mkt-places-delivery_sabores-veganos_rec_impressions_supporto,305471,1.03746,316914,324,0.102236,1.469642,1.4375,18600,estimated_ad_recallers,0.025040322580645,0.01234568,116.4375,465.75
2021-10-31,2021-10-31,principale_junino_topo_24052021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_perf_fundo_mkt-places-casa_aon_rappi-turbo_conv_lead_tipo-p,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,Topo_Reconhecimento_DiadasMaes_01/05/2021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_brand_topo_sazonal_mkt-places-delivery_cremino-em-dobro_rec_impressions_speciali,328814,1.046643,344151,264,0.076711,1.366377,1.781212,20800,estimated_ad_recallers,0.022607692307692,0.00757576,235.12,470.24
2021-10-31,2021-10-31,Teste1_Topo_Reconhecimento_PE_042021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_brand_topo_mkt-places-delivery_sazonal_dia-das-crianças_rec_impressions_interesses_tipo-m,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,Teste1_Fundo_Conv_CE_042021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,conv_lp_semana_do_gelato,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,Vegano_Meio_Trafego_Engaj_042021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,rec_topo_int_regioes_casquinha,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,Delivery_Meio_Trafego_Engaj_042021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_perf_fundo_aon_x_wp_msg_chat_tipo-p,27379,1.03079,28222,227,0.804337,11.086387,1.378326,,,,0,,312.88
2021-10-31,2021-10-31,Delivery_Topo_Reconhecimento_interesses_042021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_brand_topo_aon_mkt-places-delivery_leva-junto-uma-viagem_rec_impressions_principale,334316,1.057837,353652,325,0.091898,1.463557,1.592585,21600,estimated_ad_recallers,0.0239625,0,,517.59
2021-10-31,2021-10-31,Vegano_Topo_Reconhecimento_interesses_042021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_brand_topo_aon_mkt-places-delivery_primavera_rec_impressions_principale,398738,1.098782,438126,371,0.084679,1.572379,1.856873,21900,estimated_ad_recallers,0.031456621004566,0,,688.9
2021-10-31,2021-10-31,Vegano_Topo_Alcance_interesses_042021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,NovosProdutos_Topo_traf_itaim_032021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,rec_topo_int_regioes_speciali_ninho_al_cafe,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,Vegano_Fundo_Conv_032021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,rec_topo_int_regioes_principale_leva_junto_uma_viagem,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,Whats_moema_teste_032021,0,0,0,,,0,,,,,,,0
2021-10-31,2021-10-31,"rec_topo_int_regioes_principale_leva_junto_uma_viagem - errada",0,0,0,,,0,,0,reach,,,,0
2021-10-31,2021-10-31,Vegano_Meio_Conv_curtidores_032021,0,0,0,,,0,,,,,,,0
