Dia
1 de Março de 2021 - 31 de Outubro de 2021
Campanha,Dia,Código da moeda,Impr.,Cliques,CPM médio,CPC médio,CTR,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Custo
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-27,BRL,2.091,211,"59,91","0,59","10,09%","106,00",0,"1,18","50,24%","125,28"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-17,BRL,2.464,214,"72,58","0,84","8,69%","78,00",0,"2,29","36,45%","178,83"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-23,BRL,2.081,208,"51,89","0,52","10,00%","76,89",0,"1,40","36,97%","107,98"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-09,BRL,3.187,259,"61,24","0,75","8,13%","80,74",0,"2,42","31,17%","195,16"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-21,BRL,1.431,138,"235,04","2,44","9,64%","48,00",0,"7,01","34,78%","336,34"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-28,BRL,874,83,"378,22","3,98","9,50%","29,00",0,"11,40","34,94%","330,56"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-28,BRL,1.202,89,"52,15","0,70","7,40%","38,00",0,"1,65","42,70%","62,69"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-30,BRL,1.268,80,"52,72","0,84","6,31%","25,00",0,"2,67","31,25%","66,85"
rac_trueview_for_reach_semana_gelato,2021-09-26,BRL,318.398,680,"6,54","3,06","0,21%","22,00",1,"94,58","0,02%","2080,77"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-11,BRL,3.458,241,"97,16","1,39","6,97%","61,09",0,"5,50","25,35%","335,98"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-25,BRL,156,13,"179,94","2,16","8,33%","0,00",0, --,"0,00%","28,07"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-09,BRL,3.396,289,"96,68","1,14","8,51%","69,00",0,"4,76","23,88%","328,34"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-27,BRL,970,60,"88,92","1,44","6,19%","13,00",0,"6,63","21,67%","86,25"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-28,BRL,1.452,124,"131,51","1,54","8,54%","20,31",0,"9,40","16,38%","190,95"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-31,BRL,2.199,197,"181,91","2,03","8,96%","28,00",0,"14,29","14,21%","400,02"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-18,BRL,2.404,226,"73,23","0,78","9,40%","90,72",0,"1,94","40,14%","176,05"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-05,BRL,4.797,503,"60,26","0,57","10,49%","234,00",0,"1,24","46,52%","289,07"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-13,BRL,2.503,202,"38,97","0,48","8,07%","87,00",0,"1,12","43,07%","97,55"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-26,BRL,4.172,385,"56,79","0,62","9,23%","169,27",0,"1,40","43,97%","236,94"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-27,BRL,891,86,"336,61","3,49","9,65%","54,00",0,"5,55","62,79%","299,92"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-09,BRL,1.504,126,"210,71","2,52","8,38%","27,00",0,"11,74","21,43%","316,91"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-10,BRL,1.388,138,"362,49","3,65","9,94%","33,00",0,"15,25","23,91%","503,13"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-17,BRL,4.094,312,"109,45","1,44","7,62%","94,52",0,"4,74","30,29%","448,07"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-13,BRL,2.799,208,"81,26","1,09","7,43%","52,00",0,"4,37","25,00%","227,44"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-04,BRL,1.485,113,"66,79","0,88","7,61%","46,00",0,"2,16","40,71%","99,18"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-16,BRL,2.004,181,"81,63","0,90","9,03%","74,00",0,"2,21","40,88%","163,58"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-19,BRL,2.288,231,"72,67","0,72","10,10%","100,41",0,"1,66","43,47%","166,26"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-22,BRL,3.938,371,"53,23","0,56","9,42%","154,00",0,"1,36","41,51%","209,61"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-01,BRL,2.604,228,"87,17","1,00","8,76%","83,22",0,"2,73","36,50%","226,98"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-10,BRL,1.646,203,"304,42","2,47","12,33%","74,01",0,"6,77","36,46%","501,08"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-24,BRL,561,81,"152,05","1,05","14,44%","28,00",0,"3,05","34,57%","85,30"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-25,BRL,597,72,"144,24","1,20","12,06%","21,00",0,"4,10","29,17%","86,11"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-20,BRL,2.467,332,"350,30","2,60","13,46%","102,00",0,"8,47","30,72%","864,19"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-22,BRL,4.174,299,"112,93","1,58","7,16%","83,50",0,"5,65","27,93%","471,36"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-11,BRL,2.330,229,"47,76","0,49","9,83%","64,10",0,"1,74","27,99%","111,29"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-29,BRL,3.559,236,"46,92","0,71","6,63%","70,00",0,"2,39","29,66%","167,00"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-21,BRL,3.231,227,"129,64","1,85","7,03%","22,50",0,"18,62","9,91%","418,88"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-31,BRL,1.726,144,"78,02","0,94","8,34%","51,00",0,"2,64","35,42%","134,67"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-15,BRL,3.554,370,"68,47","0,66","10,41%","174,00",0,"1,40","47,03%","243,34"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-30,BRL,2.184,198,"61,23","0,68","9,07%","69,00",0,"1,94","34,85%","133,72"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-27,BRL,538,77,"177,86","1,24","14,31%","37,00",0,"2,59","48,05%","95,69"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-06-12,BRL,5.921,699,"170,36","1,44","11,81%","279,16",0,"3,61","39,94%","1008,72"
