DATA (Data),Faturamento Total,Faturamento Ifood,Faturamento Rappi
1 de jan. de 2021,6584.239999999999,,0
2 de jan. de 2021,467560.9799999999,142151.1,0
3 de jan. de 2021,450545.77999999997,197044.99999999997,0
4 de jan. de 2021,452314.94999999995,51194.6,0
5 de jan. de 2021,491909.6100000001,64930.8,0
6 de jan. de 2021,500579.54999999993,79486.89999999998,0
7 de jan. de 2021,543620.0399999998,84576.9,0
8 de jan. de 2021,594891.9699999999,103013.99999999999,0
9 de jan. de 2021,938047.6000000001,188275.19999999995,0
10 de jan. de 2021,801503.11,236869.19999999998,0
11 de jan. de 2021,412331.12999999995,57694.500000000015,0
12 de jan. de 2021,414428.68999999994,67981.00000000003,0
13 de jan. de 2021,454715.28000000014,69970.20000000004,0
14 de jan. de 2021,423537.3900000001,71474.8,0
15 de jan. de 2021,478046.53,93733.4,0
16 de jan. de 2021,975752.4700000002,227582.99999999997,0
17 de jan. de 2021,956866.6299999999,298842.49999999994,0
18 de jan. de 2021,409346.1599999998,67417.90000000001,0
19 de jan. de 2021,406312.88999999996,68080.50000000001,0
20 de jan. de 2021,477005.4099999999,88486.8,0
21 de jan. de 2021,425445.59999999986,76561.1,0
22 de jan. de 2021,533852.9299999999,105874.29999999997,0
23 de jan. de 2021,866109.4500000002,213456.5999999999,0
24 de jan. de 2021,809696.1599999996,254887.10000000003,0
25 de jan. de 2021,578844.4700000001,136136.4,0
26 de jan. de 2021,351257.61999999994,58758.40000000001,0
27 de jan. de 2021,462214.4400000002,94025.29999999997,0
28 de jan. de 2021,479886.18999999994,101355.49999999997,0
29 de jan. de 2021,670971.2300000002,162883.89999999994,0
30 de jan. de 2021,827403.5599999999,446559.2,0
31 de jan. de 2021,778041.2800000001,433550.7,0
1 de fev. de 2021,363317.0799999999,64212.10000000002,0
2 de fev. de 2021,402035.22,74044.8,0
3 de fev. de 2021,455161.4199999998,87804.89999999997,0
4 de fev. de 2021,509389.0000000001,106142.09999999998,0
5 de fev. de 2021,506681.2,111773.29999999999,0
6 de fev. de 2021,1010964.5,227922.19999999995,0
7 de fev. de 2021,885556.4200000002,268721.9,0
8 de fev. de 2021,327452.7899999999,46432.30000000001,0
9 de fev. de 2021,361870.81999999995,51606.7,0
