,Unnamed: 0,Faturamento Total,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Resultados,CustoResult,Custo
0,2021-01-01,6584.239999999999,,,,,,,,,,
1,2021-01-02,467560.9799999999,,,,,,,,,,
2,2021-01-03,450545.78,,,,,,,,,,
3,2021-01-04,452314.95,,,,,,,,,,
4,2021-01-05,491909.6100000001,,,,,,,,,,
5,2021-01-06,500579.54999999993,,,,,,,,,,
6,2021-01-07,543620.0399999998,,,,,,,,,,
7,2021-01-08,594891.9699999999,,,,,,,,,,
8,2021-01-09,938047.6,,,,,,,,,,
9,2021-01-10,801503.11,,,,,,,,,,
10,2021-01-11,412331.13,,,,,,,,,,
11,2021-01-12,414428.69,,,,,,,,,,
12,2021-01-13,454715.28000000014,,,,,,,,,,
13,2021-01-14,423537.3900000001,,,,,,,,,,
14,2021-01-15,478046.53,,,,,,,,,,
15,2021-01-16,975752.4700000002,,,,,,,,,,
16,2021-01-17,956866.63,,,,,,,,,,
17,2021-01-18,409346.1599999998,,,,,,,,,,
18,2021-01-19,406312.89,,,,,,,,,,
19,2021-01-20,477005.4099999999,,,,,,,,,,
20,2021-01-21,425445.5999999999,,,,,,,,,,
21,2021-01-22,533852.9299999999,,,,,,,,,,
22,2021-01-23,866109.4500000002,,,,,,,,,,
23,2021-01-24,809696.1599999996,,,,,,,,,,
24,2021-01-25,578844.4700000001,,,,,,,,,,
25,2021-01-26,351257.61999999994,,,,,,,,,,
26,2021-01-27,462214.4400000002,,,,,,,,,,
27,2021-01-28,479886.19,,,,,,,,,,
28,2021-01-29,670971.2300000002,,,,,,,,,,
29,2021-01-30,827403.5599999999,,,,,,,,,,
30,2021-01-31,778041.2800000001,,,,,,,,,,
31,2021-02-01,363317.0799999999,,,,,,,,,,
32,2021-02-02,402035.22,,,,,,,,,,
33,2021-02-03,455161.4199999998,,,,,,,,,,
34,2021-02-04,509389.0000000001,,,,,,,,,,
35,2021-02-05,506681.2,,,,,,,,,,
36,2021-02-06,1010964.5,,,,,,,,,,
37,2021-02-07,885556.4200000002,,,,,,,,,,
38,2021-02-08,327452.7899999999,,,,,,,,,,
39,2021-02-09,361870.82,,,,,,,,,,
40,2021-02-10,381601.54,,,,,,,,,,
41,2021-02-11,349736.19,,,,,,,,,,
42,2021-02-12,490661.0999999999,,,,,,,,,,
43,2021-02-13,806442.2699999999,,,,,,,,,,
44,2021-02-14,872379.0099999998,,,,,,,,,,
45,2021-02-15,637358.7300000002,,,,,,,,,,
46,2021-02-16,623067.9599999998,,,,,,,,,,
