,Faturamento Total,Dia,Alcance_facebook,Frequencia_facebook,Impressoes_facebook,Cliques_facebook,CTR_facebook,CPM_facebook,CPC_facebook,Resultados_facebook,CustoResult_facebook,Custo_facebook,Impressoes_google,Cliques_google,CTR_google,CPM_google,CPC_google,Conversões_google,TaxaConv_google,CustoConv_google,Custo_google
0,286657.31999999995,2021-04-08,12083,1.012745,12237,193,1.577184,9.74667,0.617979,64.0,1.86359375,119.27,899113,660,23.92,339.32,2.94,237.75,66.97,9.09,811.75
1,506971.62999999983,2021-04-09,13128,1.024147,13445,177,1.316475,14.599479,1.108983,69.0,2.8447826086957,196.29,973325,443,22.52,425.57,3.59,199.67,87.38,8.47,682.88
2,1117867.4400000002,2021-04-10,48737,1.015676,49501,945,1.909052,11.932082,0.625026,338.0,1.7474852071006,590.65,3418,530,30.78,456.41,3.29,237.01,86.31,8.42,770.4
3,1198845.3599999996,2021-04-11,51665,1.037956,53626,852,1.588782,9.762802,0.614484,281.0,1.8631316725979,523.54,3506,587,31.340000000000003,500.52,3.75,268.5,88.55000000000001,8.92,693.38
4,144902.85999999996,2021-04-12,13197,1.007653,13298,160,1.203188,6.588961,0.547625,50.0,1.7524,87.62,810092,757,32.26,422.37,3.42,300.86,70.46,11.11,614.22
5,148076.83000000007,2021-04-13,25817,1.047449,27042,202,0.746986,3.732712,0.499703,67.0,1.5065671641791,100.94,875086,267,26.51,467.67999999999995,3.89,127.0,97.02,7.890000000000001,452.75
6,178628.66999999995,2021-04-14,17108,1.040917,17808,217,1.218553,8.835916,0.725115,71.0,2.2161971830986,157.35,1553000,292,36.5,347.36,2.66,163.0,96.72,8.67,249.32
7,196590.07,2021-04-15,13264,1.015908,13475,179,1.328386,9.637106,0.725475,65.0,1.9978461538462,129.86,835942,933,31.16,546.8,4.26,388.71,92.62,8.82,1243.1
8,287995.22,2021-04-16,10392,1.040993,10818,169,1.562211,10.351266,0.662604,60.0,1.8663333333333,111.98,931123,778,32.56,365.83000000000004,2.88,273.0,77.39,6.9399999999999995,570.46
9,496431.1299999999,2021-04-17,8790,1.029238,9047,113,1.249033,12.934674,1.035575,43.0,2.7213953488372,117.02,943173,340,33.19,430.14,3.22,122.33,72.47999999999999,8.65,479.09000000000003
10,597492.0899999999,2021-04-18,28155,1.035198,29146,411,1.410142,7.845674,0.556375,126.0,1.8148412698413,228.67,787905,536,37.03,615.3,3.78,248.02,97.31,7.38,638.9
