,Faturamento Total,Dia
0,446880.1499999997,2021-09-01
1,495261.71,2021-09-02
2,699783.2699999998,2021-09-03
3,1140939.98,2021-09-04
4,1137429.3,2021-09-05
5,825125.3000000002,2021-09-06
6,1047161.0000000003,2021-09-07
7,381315.0699999998,2021-09-08
8,393938.4199999999,2021-09-09
9,566876.25,2021-09-10
10,1187799.71,2021-09-11
11,1195119.8600000003,2021-09-12
12,439545.3499999999,2021-09-13
13,469600.66999999975,2021-09-14
14,384463.96,2021-09-15
15,401029.09,2021-09-16
16,597481.63,2021-09-17
17,1248857.33,2021-09-18
18,1208268.2599999998,2021-09-19
19,501139.9199999999,2021-09-20
20,413758.72,2021-09-21
21,358908.99999999994,2021-09-22
22,470941.3300000001,2021-09-23
23,661508.2799999999,2021-09-24
24,1058489.21,2021-09-25
25,1193315.8999999994,2021-09-26
26,459806.9099999999,2021-09-27
27,515429.0999999998,2021-09-28
28,471204.31999999983,2021-09-29
29,508691.3499999997,2021-09-30
30,603035.4099999997,2021-10-01
