,Faturamento Total,Dia,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Conversões,Resultados,CustoResult,CPL,Custo
0,446880.1499999997,2021-09-01,57204,1.0415977567595045,59584,397,0.0065285982814178,4.466380708615162,0.6840910771208226,89,389,0.6840910771208226,66.52785725,266.11
1,495261.71,2021-09-02,87572,1.0419187389330755,91243,779,0.0084061243054261,3.836751696392357,0.4563233376792699,102,767,0.4563233376792699,31.818181818181817,350.0
2,699783.2699999998,2021-09-03,81320,1.0516631408253068,85522,692,0.0079745562545309,3.6251374044016185,0.4545454545454545,136,682,0.45454545454545453,44.285714285714285,310.0
3,1140939.98,2021-09-04,74316,1.0547083111272189,78382,674,0.0084713327039371,3.955544780594863,0.4668674698795181,90,664,0.4668674698795181,38.75,310.0
4,1137429.3,2021-09-05,78286,1.0600338923066035,82986,718,0.0085436097655026,4.013208638642499,0.4696755994358251,69,709,0.46967559943582515,83.25,333.0
5,825125.3000000002,2021-09-06,86197,1.0541837333105188,90868,730,0.0078355416648325,3.665785997357992,0.4676966292134831,118,712,0.46769662921348315,55.5,333.0
6,1047161.0000000003,2021-09-07,152383,1.0670890698390432,162607,1411,0.0085236182944153,4.103580019810386,0.4812409812409812,197,1386,0.48124098124098125,74.11111111111111,667.0
7,381315.0699999998,2021-09-08,141618,1.103776241287081,156315,1416,0.0088795061254518,4.263773500499194,0.4799878508645533,114,1388,0.4799878508645533,133.24462739999998,666.22
8,393938.4199999999,2021-09-09,140469,1.162048180349408,163232,1413,0.0084052146637914,4.089891774228163,0.4861516034985422,179,1372,0.48615160349854225,133.4,667.0
9,566876.25,2021-09-10,124985,1.148510118723578,143547,1413,0.009564811525145,4.665836562810415,0.4857975236707939,144,1373,0.4857975236707939,60.63636363636363,667.0
10,1187799.71,2021-09-11,95912,1.1736277185711017,112566,1489,0.0129168665494021,5.926199359409015,0.4568309002751031,129,1454,0.45683090027510315,83.029016125,664.23
11,1195119.8600000003,2021-09-12,95722,1.1925563573525395,114155,1526,0.0128947483684464,5.885415287961811,0.453125,181,1472,0.453125,60.63636363636363,667.0
12,439545.3499999999,2021-09-13,103879,1.1720832163059358,121756,1548,0.0122950819672131,5.5346726079344135,0.4455577822311289,187,1497,0.44555778223112896,33.35,667.0
13,469600.66999999975,2021-09-14,122154,1.167877186717521,142662,1551,0.0106335253956905,4.710252390435434,0.4396835860250494,181,1517,0.4396835860250494,60.63636363636363,667.0
14,384463.96,2021-09-15,120084,1.15026609733823,138129,1518,0.0107435802764082,4.892392510198691,0.4493220754716981,190,1484,0.4493220754716981,111.13232666666666,666.79
15,401029.09,2021-09-16,122078,1.138588979275852,138997,1513,0.0107196558199097,4.915978773584905,0.4476510067114094,228,1490,0.4476510067114094,133.4,667.0
16,597481.63,2021-09-17,118462,1.1456093330948156,135712,1508,0.010986500825277,4.989079376477276,0.4473507712944333,237,1491,0.4473507712944333,60.63636363636363,667.0
17,1248857.33,2021-09-18,101251,1.1539587956258084,116840,1525,0.0126754536117767,5.720460724362988,0.450371370695476,150,1481,0.450371370695476,83.375,667.0
18,1208268.2599999998,2021-09-19,102485,1.1471191554353506,117563,1557,0.0129887804836555,5.68399703443633,0.4368041912246235,253,1527,0.4368041912246235,111.16666666666669,667.0
19,501139.9199999999,2021-09-20,115186,1.1447955165456436,131865,1599,0.0118530315094983,5.066002339323419,0.4267434420985285,241,1563,0.4267434420985285,133.4,667.0
20,413758.72,2021-09-21,109781,1.1829732334981558,129869,1661,0.0124510083237724,5.1466446500358805,0.4124922696351267,109,1617,0.41249226963512675,55.583333333333336,667.0
21,358908.99999999994,2021-09-22,94664,1.233403211633782,116759,1912,0.0161957536463998,5.733047970225969,0.3527234267583289,77,1891,0.3527234267583289,166.75,667.0
22,470941.3300000001,2021-09-23,133140,1.2782547303067404,170187,2367,0.0136966983377108,5.124232308127075,0.3733852878592879,128,2331,0.3733852878592879,79.12373690909091,870.36
23,661508.2799999999,2021-09-24,144599,1.2677393488870912,183315,2312,0.012273954668194,4.7729434791641605,0.388,148,2250,0.388,67.15384615384616,873.0
24,1058489.21,2021-09-25,144680,1.2704028602311912,183803,2168,0.0115449693421761,4.75853046985719,0.4114043355325165,107,2122,0.4114043355325165,218.25,873.0
25,1193315.8999999994,2021-09-26,126355,1.251227221402508,158099,2077,0.0128527062157255,5.532740132329455,0.4296259842519685,109,2032,0.4296259842519685,79.36363636363636,873.0
26,459806.9099999999,2021-09-27,146004,1.1931842260470022,174210,2061,0.0115722403995178,5.022437003797032,0.4330357142857142,129,2016,0.43303571428571425,291.0,873.0
27,515429.0999999998,2021-09-28,137823,1.2196444747961577,168096,2025,0.0118622691795164,5.208146901957977,0.4378134403209628,105,1994,0.43781344032096287,436.5,873.0
28,471204.31999999983,2021-09-29,143024,1.1918908467683895,170470,1904,0.0110107350266909,5.135263910212292,0.4651038891848695,132,1877,0.4651038891848695,109.125,873.0
29,508691.3499999997,2021-09-30,144356,1.1959029634161304,172636,1861,0.0106061308186009,5.074430797667971,0.4767886400873839,179,1831,0.4767886400873839,145.5,873.0
30,603035.4099999997,2021-10-01,68062,1.1429319260381223,77791,871,0.0110166985898111,4.9928577744357,0.4493630256709451,104,857,0.44936302567094516,64.18401883333333,385.1
31,1217603.2900000005,2021-10-02,395,1.2911392405063291,510,0,0.0058823529411764,0.0,0.0,7,3,0.0,,0.0
32,778522.4400000002,2021-10-03,367,1.2670299727520435,465,0,0.0,0.0,0.0,0,0,0.0,,0.0
33,0.0,2021-10-04,528,1.5738636363636365,831,0,0.0048134777376654,0.0,0.0,0,4,0.0,,0.0
34,0.0,2021-10-05,403,1.4317617866004964,577,0,0.0,0.0,0.0,0,0,0.0,,0.0
35,0.0,2021-10-06,353,1.2946175637393769,457,0,0.0043763676148796,0.0,0.0,0,2,0.0,,0.0
36,405341.0099999997,2021-10-07,410,1.2658536585365854,519,0,0.0096339113680154,0.0,0.0,2,5,0.0,,0.0
37,671816.9,2021-10-08,375,1.216,456,0,0.0,0.0,0.0,1,0,0.0,,0.0
38,1009849.8799999997,2021-10-09,363,1.2479338842975207,453,0,0.0044150110375275,0.0,0.0,0,2,0.0,,0.0
39,944978.16,2021-10-10,499,1.2725450901803608,635,0,0.0031496062992125,0.0,0.0,0,2,0.0,,0.0
