,Faturamento Total,Dia,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Conversões,CPA,Custo
0,672085.0100000001,2021-08-20,421894,1.12,474115,2304,0.49,1.92,0.4,63,14.48,911.97
1,1160131.64,2021-08-21,792174,1.19,942476,4923,0.52,2.12,0.41,133,15.03,1998.98
2,1121960.9199999997,2021-08-22,788632,1.19,939889,4904,0.52,2.13,0.41,131,15.27,2000.0
3,402804.87,2021-08-23,688934,1.21,834109,4698,0.56,2.4,0.43,87,22.99,2000.0
4,434270.63,2021-08-24,608232,1.23,745329,4152,0.56,2.68,0.48,98,20.41,2000.0
5,507949.9699999996,2021-08-25,659248,1.2,788638,4343,0.55,2.54,0.46,77,25.97,2000.0
6,519867.9500000001,2021-08-26,780186,1.17,913736,4305,0.47,2.19,0.46,69,28.99,2000.0
7,500115.36999999976,2021-08-27,673356,1.2,805896,4249,0.53,2.73,0.52,64,34.38,2200.0
8,939375.2900000002,2021-08-28,806053,1.18,950439,4640,0.49,2.31,0.47,72,30.56,2200.0
9,917821.0,2021-08-29,840155,1.19,995778,4812,0.48,2.2,0.46,74,29.66,2194.65
10,327125.2500000001,2021-08-30,198938,1.12,222673,1017,0.46,2.22,0.49,12,41.2,494.4
11,410276.7,2021-08-31,1557,1.16,1812,3,0.17,0.0,0.0,0,0.0,0.0
12,446880.1499999997,2021-09-01,358172,1.13,405570,2243,0.55,1.62,0.29,38,17.34,658.82
13,495261.71,2021-09-02,322333,1.18,379895,2127,0.56,1.75,0.31,19,35.05,666.0
14,699783.2699999998,2021-09-03,98738,1.18,116725,808,0.69,2.14,0.31,9,27.78,250.0
15,1140939.98,2021-09-04,114266,1.2,136616,970,0.71,1.83,0.26,17,14.71,250.0
16,1137429.3,2021-09-05,172231,1.17,202134,1286,0.64,1.64,0.26,15,22.16,332.47
17,825125.3000000002,2021-09-06,159878,1.19,190483,1331,0.7,1.75,0.25,14,23.79,333.0
18,1047161.0000000003,2021-09-07,399042,1.15,460552,2508,0.54,1.45,0.27,41,16.27,667.0
19,381315.0699999998,2021-09-08,316275,1.18,371646,2068,0.56,1.79,0.32,34,19.62,667.0
20,393938.4199999999,2021-09-09,207783,1.43,296547,1910,0.64,2.25,0.35,29,23.0,667.0
21,566876.25,2021-09-10,207441,1.36,281083,1647,0.59,2.37,0.4,27,24.65,665.46
22,1187799.71,2021-09-11,199992,1.43,286782,1923,0.67,2.33,0.35,21,31.76,667.0
23,1195119.8600000003,2021-09-12,216880,1.45,315433,2101,0.67,2.11,0.32,28,23.82,666.84
24,439545.3499999999,2021-09-13,192246,1.45,279291,1898,0.68,2.39,0.35,31,21.52,667.0
25,469600.66999999975,2021-09-14,182642,1.42,259699,1846,0.71,2.57,0.36,19,35.11,667.0
26,384463.96,2021-09-15,158810,1.39,220026,1425,0.65,3.03,0.47,16,41.69,667.0
27,401029.09,2021-09-16,149336,1.46,218630,1563,0.71,3.04,0.42,17,39.05,663.82
28,597481.63,2021-09-17,135034,1.47,197915,1581,0.8,3.37,0.42,22,30.32,667.0
29,1248857.33,2021-09-18,151830,1.43,217231,1728,0.8,3.07,0.39,31,21.52,667.0
30,1208268.2599999998,2021-09-19,181165,1.46,265050,1862,0.7,2.52,0.36,18,37.06,667.0
31,501139.9199999999,2021-09-20,152848,1.47,224293,1699,0.76,2.97,0.39,12,55.58,667.0
32,413758.72,2021-09-21,121087,1.5,181629,1559,0.86,3.67,0.43,14,47.64,667.0
33,358908.99999999994,2021-09-22,142457,1.48,210360,1561,0.74,3.17,0.43,18,37.06,667.0
34,470941.3300000001,2021-09-23,158147,1.5,237831,1778,0.75,3.59,0.48,28,30.54,855.0
35,661508.2799999999,2021-09-24,158067,1.49,235012,1896,0.81,3.64,0.45,27,31.67,854.98
36,1058489.21,2021-09-25,178181,1.51,268945,2059,0.77,3.18,0.42,27,31.67,855.0
37,1193315.8999999994,2021-09-26,185571,1.51,279511,2222,0.79,3.06,0.38,29,29.48,855.0
38,459806.9099999999,2021-09-27,157537,1.53,241026,2151,0.89,3.55,0.4,23,37.17,855.0
39,515429.0999999998,2021-09-28,177317,1.48,263247,1909,0.73,3.25,0.45,24,35.61,854.58
40,471204.31999999983,2021-09-29,162472,1.46,237487,1747,0.74,3.57,0.49,16,52.98,847.74
41,508691.3499999997,2021-09-30,199615,1.43,286057,1864,0.65,2.8,0.43,23,34.77,799.6
42,603035.4099999997,2021-10-01,30752,1.16,35581,237,0.67,1.86,0.28,2,33.04,66.08
